zh_ref,ru_ref,google_trans,NLBB_trans,GPT_translate
王毅参加会见。,Во встрече принял участие Ван И.,Ван И присутствовал на встрече.,Ван И принял участие во встрече.,Ван И присутствовал на встрече.
张汉晖大使在“今日俄罗斯”国际媒体集团发表署名文章《擘画发展新蓝图 谱写时代新华章》,"Посол Китая в России Чжан Ханьхуэй опубликовал в международной медиагруппе «Россия сегодня» статью «Наметить новый план развития, написать новую блестящую главу эпохи»",Посол Чжан Ханьхуэй опубликовал подписанную статью «Составляя новый план развития и написав новую главу эпохи» в международной медиа-группе «Россия сегодня»,"Посол Чжан Ханьхуэй опубликовала статью под названием «Наметив новые горизонты развития и написав новую главу истории эпохи» в международном медиа-холдинге ""Russia Today"".",Статья Чжан Ханьчуля о «Новом проекте развития» в международной медиагруппе
2025-11-06 21:58,2025-11-06 21:26,2025-11-06 21:58,"6 ноября 2025 года, 21:58.",2025-11-06 21:58
11月5日，张汉晖大使在“今日俄罗斯”国际媒体集团发表署名文章《擘画发展新蓝图 谱写时代新华章》。,"5 ноября Посол Китая в России Чжан Ханьхуэй опубликовал в международной медиагруппе «Россия сегодня» статью «Наметить новый план развития, написать новую блестящую главу эпохи».",5 ноября посол Чжан Ханьхуэй опубликовал в международной медиа-группе «Россия сегодня» подписанную статью «Составляя новый план развития и написав новую главу эпохи».,"5 ноября посол Чжан Ханьхуэй опубликовала статью под названием ""Наметить новые горизонты развития и написать новую славную главу эпохи"" в международном медиа-холдинге ""Russia Today"".",5 ноября посол Чжан Ханьчул опубликовал в международной медиагруппе «Сегодня» статью под названием «Новые планы развития».
全文如下：,Полный текст статьи приводится ниже.,Полный текст выглядит следующим образом:,Полный текст приведен ниже:,Текст гласит следующее:
10月20日至23日，中国共产党第二十届中央委员会第四次全体会议在北京胜利召开。这次全会是在中国即将胜利完成“十四五”主要目标任务，进入基本实现社会主义现代化夯实基础、全面发力的关键时期召开的一次重要会议。全会审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。这是新时代以来中国制定的第三个五年规划，也是全面建设社会主义现代化国家新征程上的第一个五年规划，为中国未来一段时期高质量发展擘画了目标宏伟的发展蓝图，制定了务实清晰的行动纲领，吹响了接续奋斗的时代号角。,"С 20 по 23 октября в Пекине с большим успехом состоялся 4-й пленум Центрального комитета Коммунистической партии Китая 20-го созыва. Пленум проходил в ключевой период, когда Китай добивается успехов в достижении основных целей и задач своей 14-й пятилетней программы (2021-2025 гг.), закладывает прочный фундамент и прикладывает всесторонние усилия для вступления в этап основного осуществления социалистической модернизации. На Пленуме были рассмотрены и приняты «Предложения ЦК КПК по разработке 15-й пятилетней программы народнохозяйственного и социального развития». Это третья пятилетняя программа, разработанная со времени вступления в новую эпоху, и первая пятилетняя программа на новом пути всестороннего строительства модернизированного социалистического государства. Она наметила величественную цель и программу развития высококачественного развития Китая на предстоящий период, установила практически ясный план действий и провозгласил призыв эпохи к непрерывной борьбе.","С 20 по 23 октября в Пекине успешно прошел Четвертый Пленум ЦК Коммунистической партии Китая XX созыва. Это пленарное заседание является важным заседанием, проводимым в то время, когда Китай приближается к успешному завершению основных целей и задач «14-го пятилетнего плана» и вступает в критический период, когда он в основном реализует социалистическую модернизацию, закладывает прочный фундамент и прилагает все усилия. Пленарное заседание рассмотрело и одобрило «Рекомендации ЦК КПК по формулированию пятнадцатой пятилетки экономического и социального развития страны». Это третий пятилетний план, сформулированный Китаем с начала новой эры. Это также первый пятилетний план нового пути всестороннего строительства современной социалистической страны. Он разработал программу развития с амбициозными целями высококачественного развития Китая в будущем, сформулировал прагматичный и четкий план действий и озвучил громкий призыв к продолжению борьбы.","С 20 по 23 октября в Пекине состоялось Четвертое общее заседание Центрального комитета Коммунистической партии Китая двадцатого созыва. Эта важная сессия была проведена в критический период, когда Китай готовится завершить основные задачи Пятого пятилетнего плана и вступить на путь укрепления фундамента для достижения социалистической модернизации и всестороннего развития. На заседании было рассмотрено и одобрено «Предложение Центрального комитета Коммунистической партии Китая о разработке Пятого пятилетнего плана социально-экономического развития». Это третий пятилетний план, разработанный Китаем в новую эпоху, а также первый пятилетний план на новом этапе всестороннего строительства социалистиского современного государства. Он определяет амбициозные цели для высококачественного развития Китая в ближайшие годы, содержит четкие и практичные руководящие принципы действий и служит сигналом к продолжению упорной работы.","С 20 по 23 октября в Пекине успешно прошло четвертое пленарное заседание двадцатого ЦК КПК. Это пленарное заседание является важным в решающий момент, когда Китай находится на грани успешного выполнения основных задач 14-го пятилетнего плана, который по сути является основой модернизации социализма. Пленарное заседание рассмотрело и приняло Предложение КПК о подготовке XV пятилетнего плана национального экономического и социального развития. Это третий пятилетний план, составленный Китаем с новой эры. Это первый пятилетний план полномасштабного строительства современной социалистической страны. В нем изложен амбициозный план развития высококачественного развития Китая на предстоящий период."
聚焦核心目标，系统谋划中国之治新篇章,"Сосредоточиться на ключевых целях, системно планировать новую главу управления Китаем",Сосредоточьтесь на основных целях и систематически планируйте новую главу в управлении Китаем.,"Сосредоточившись на ключевых целях, необходимо разработать комплексный план для написания новой главы в истории развития Китая.",Сосредоточьтесь на основной цели новой главы в китайском управлении.
此次全会的核心议程是围绕进一步全面深化改革、推进中国式现代化进行战略部署。全会系统总结了改革开放以来的宝贵经验，并着眼于解决当前和未来发展阶段所面临的挑战，致力于推动国家治理体系和治理能力的现代化。会议明确提出，“十五五”时期是中国式现代化进程中承上启下的关键阶段，将锚定七大发展目标：一是高质量发展取得显著成效，二是科技自立自强水平大幅提高，三是进一步全面深化改革取得新突破，四是社会文明程度明显提升，五是人民生活品质不断提高，六是美丽中国建设取得新的重大进展，七是国家安全屏障更加巩固。这些发展目标体现了新时代中国推动实现高质量发展、高品质生活、高效能治理、高水平开放的不懈追求，必将引领中国特色社会主义事业取得更大发展，为到2035年基本实现社会主义现代化奠定更加坚实的基础。,"Основной повесткой данного Пленума стали стратегическое планирование дальнейшего всестороннего углубления реформ и продвижения китайской модернизации. Пленум систематизировал бесценный опыт, накопленный со времени начала политики реформ и открытости, и, обращаясь к вызовам текущего и будущих этапов развития, посвятил себя модернизации системы и потенциала государственного управления. На Пленуме четко заявлено, что период 15-й пятилетки (2026-2030 гг.) станет ключевым переходным этапом в процессе китайской модернизации. Работа будет сосредоточена на следующих семи ключевых направлениях: Первое, переход к качественному экономическому росту. Второе, достижение технологической самостоятельности и лидерства. Третье, углубление всесторонних реформ. Четвертое, повышение уровня социальной культуры. Пятое, непрерывный рост благосостояния населения. Шестое, строительство экологической цивилизации. Седьмое, укрепление национальной безопасности. Эти цели развития отражают неустанное стремление Китая в новую эпоху к реализации качественного развития, высокого уровня жизни, эффективного управления и открытости на высоком уровне. Они непременно выведут дело социализма с китайской спецификой на новую высоту, что заложит более прочную основу для достижения цели в основном осуществить социалистическую модернизацию к 2035 году.","Основной повесткой дня этого пленарного заседания является принятие стратегических мер по дальнейшему всестороннему углублению реформ и содействию модернизации в китайском стиле. Пленарное заседание систематически обобщало ценный опыт реформ и открытости, фокусировалось на решении проблем, стоящих на нынешнем и будущем этапах развития, и было привержено содействию модернизации национальной системы управления и возможностей управления. На встрече четко было заявлено, что период «15-й пятилетки» является критическим этапом в процессе китайской модернизации и будет определять семь основных целей развития: во-первых, достижение выдающихся результатов в высококачественном развитии; во-вторых, значительно повысить уровень самообеспеченности и самостоятельности в области науки и техники; в-третьих, добиться новых прорывов в дальнейшем всестороннем углублении реформ; в-четвертых, существенно повысить уровень социальной цивилизации; в-пятых, постоянно улучшать качество жизни людей; в-шестых, добиться нового крупного прогресса в построении прекрасного Китая; и в-седьмых, укрепить барьеры национальной безопасности. Эти цели развития отражают неустанное стремление Китая к высококачественному развитию, качественной жизни, эффективному управлению и открытости на высоком уровне в новую эпоху. Они, несомненно, возглавят дело социализма с китайской спецификой, чтобы добиться большего развития и заложить более прочную основу для практической реализации социалистической модернизации к 2035 году.","Основной повесткой дня текущего съезда стало стратегическое планирование дальнейших всесторонних и углубленных реформ, направленных на продвижение китайской модели модернизации. На съезде был подведен итог ценному опыту, накопленному в период реформ и открытости, и были определены задачи, стоящие перед Китаем на текущем этапе развития и в будущем. Съезд призван способствовать модернизации системы управления и повышению эффективности государственного управления. Было четко заявлено, что период с 2025 по 2035 год является ключевым этапом в процессе китайской модернизации, и будут определены семь основных целей: достижение значительных результатов в области качественного развития, существенное повышение уровня научно-технической независимости, новые прорывы в дальнейших всесторонних и углубленных реформах, заметное повышение уровня цивилизованности общества, постоянное улучшение качества жизни населения, значительный прогресс в строительстве красивой и экологически чистой Китая, а также укрепление системы национальной безопасности. Эти цели отражают неустанное стремление Китая к достижению качественного развития, высокого уровня жизни, эффективного управления и открытости на высоком уровне, что обязательно приведет к дальнейшему развитию социализма с китайской спецификой и заложит более прочную основу для достижения основной модернизации к 2035 году.","Центральная повестка дня этого пленарного заседания — стратегическое развертывание вокруг дальнейшего углубления реформ и продвижения модернизации в китайском стиле. Пленарная система опирается на ценный опыт, накопленный с момента открытия реформы, и направлена на решение задач, стоящих перед нынешними и будущими этапами развития, а также на модернизацию системы управления и потенциала страны. Было четко заявлено, что «155-й» период является решающим этапом в процессе модернизации Китая, на котором будут закреплены семь основных целей развития: во-первых, значительные успехи в качественном развитии, во-вторых, значительные улучшения уровня самообеспеченности науки и техники, в-третьих, новые прорывы в дальнейшем углублении реформ, в-пятых, значительные улучшения качества жизни народа, в-шестых, значительные новые достижения в строительстве прекрасного Китая, и в-седьмых, консолидация барьеров национальной безопасности. Эти цели развития отражают неустанное стремление Китая к высококачественному развитию, высококачественной жизни, эффективному управлению и открытости на высоком уровне. Они приведут к большему развитию социализма Китая и обеспечат более прочную основу для фундаментальной модернизации социализма к 2035 году."
稳定发展预期，为世界经济持续注入新动能,"Стабилизировать ожидания развития, непрерывно внедрять новую энергию роста в мировую экономику",Стабилизировать ожидания развития и продолжать придавать новый импульс мировой экономике.,"Ожидается стабильное развитие, которое будет способствовать дальнейшему росту мировой экономики и придаст ей новые импульсы.","Стабилизация ожиданий развития, поддержание новой динамики в мировой экономике"
在当前全球经济复苏乏力、地缘政治冲突加剧的复杂国际环境下，中国作为世界第二大经济体的发展方向备受瞩目。“十五五”时期，虽然中国发展的外部环境发生深刻复杂变化，不确定难预料因素日益增多，但中国经济基础稳、优势多、韧性强、潜能大，长期向好的支撑条件和基本趋势没有变，中国特色社会主义制度优势、超大规模市场优势、完整产业体系优势、丰富人才资源优势持续彰显。在“十四五”前4年5.5%的平均增速基础上，今年前三季度中国国内生产总值同比增长5.2%，2025年中国经济总量有望达到140万亿元左右，展现出强劲的内生动力和宏观政策的有效协同。中国将坚持以经济建设为中心，以推动高质量发展为主题，以改革创新为根本动力，以满足人民日益增长的美好生活需求为根本目的，推动经济实现质的有效提升和量的合理增长，为动荡变革的世界注入更多确定性和正能量。,"В сложных международных условиях, характеризующихся вялым восстановлением глобальной экономики и усилением геополитической напряженности, направление развития Китая как второй по величине экономики мира привлекает пристальное внимание. В период 15-й пятилетки, несмотря на глубокие и сложные изменения во внешней среде и рост непредсказуемых факторов неопределенности, китайская экономика обладает прочной основой, множеством преимуществ, высокой стрессоустойчивостью и огромным потенциалом. Тенденция ее долгосрочного благоприятного развития не изменилась. Преимущества социализма с китайской спецификой, огромного масштаба внутреннего рынка, совершенной промышленной системы и богатых человеческих ресурсов проявляются все более отчетливо. На основе среднего темпа роста в 5,5% за первые четыре года в период 14-й пятилетки, за январь-сентябрь этого года ВВП Китая вырос на 5,2% по сравнению с аналогичным периодом прошлого года, ожидается, что в 2025 году объем китайской экономики достигнет уровня около 140 трлн юаней, демонстрируя мощную внутреннюю движущую силу и результативное взаимодействие макроэкономической политики. Китай будет неуклонно придерживаться экономического строительства как своей основной задачи, продвигать высококачественное развитие как ключевую тему, рассматривать реформы и инновации как фундаментальную движущую силу, стремиться к удовлетворению растущих потребностей населения в счастливой жизни как основной цели, стимулируя эффективное качественное улучшение экономики при сохранении разумных количественных темпов роста. Это непременно привнесет больше определенности и позитивной энергии в турбулентный и меняющийся мир.","В нынешней сложной международной обстановке, характеризующейся медленным восстановлением мировой экономики и обострением геополитических конфликтов, направление развития Китая, второй по величине экономики мира, привлекло большое внимание. В период «15-й пятилетки», несмотря на то, что внешняя среда развития Китая претерпела глубокие и сложные изменения, а неопределенные и непредсказуемые факторы все больше усиливаются, экономическая основа Китая стабильна, имеет множество преимуществ, устойчива и имеет большой потенциал. Поддерживающие условия и основные тенденции долгосрочного улучшения не изменились. Продолжают демонстрироваться преимущества социалистической системы с китайской спецификой, преимущества сверхбольших рынков, преимущества целостной индустриальной системы и преимущества обильных человеческих ресурсов. Исходя из среднего темпа роста в 5,5% за первые четыре года «14-й пятилетки», ВВП Китая увеличился на 5,2% в годовом исчислении за первые три квартала этого года. Ожидается, что к 2025 году совокупный экономический объем Китая достигнет около 140 трлн юаней, что продемонстрирует сильную эндогенную движущую силу и эффективную координацию макрополитики. Китай будет придерживаться экономического строительства как центра, продвигать высококачественное развитие как тему, реформы и инновации как фундаментальную движущую силу, удовлетворять растущие потребности людей в лучшей жизни как фундаментальную цель, способствовать эффективному качественному улучшению экономики и разумному количественному росту, а также привносить больше уверенности и позитивной энергии в неспокойный и меняющийся мир.","В условиях сложной международной обстановки, характеризующейся слабым восстановлением мировой экономики и обострением геополитических конфликтов, траектория развития Китая, второй по величине экономики в мире, вызывает большой интерес. В период с 2011 по 2015 год внешняя среда для развития Китая претерпела глубокие и сложные изменения, неопределенность и непредсказуемые факторы возрастали, однако экономическая основа Китая остается устойчивой, обладает множеством преимуществ, высокой устойчивостью и огромным потенциалом. Долгосрочные позитивные тенденции и фундаментальные условия развития сохранились. Преимущества социалистической системы с китайской спецификой, масштабный внутренний рынок, развитая промышленная структура и богатые человеческие ресурсы продолжают проявляться. На основе среднегодового темпа роста в 5,5% за первые четыре года ""Пятого пятилетнего плана"", валовой внутренний продукт Китая за первые три квартала текущего года вырос на 5,2%. Ожидается, что к 2025 году общий объем экономики Китая достигнет примерно 140 триллионов юаней, что демонстрирует сильный внутренний потенциал и эффективную координацию макроэкономической политики. Китай будет придерживаться курса на экономическое строительство, ориентироваться на достижение качественного развития, использовать реформы и инновации в качестве основного движущего фактора и стремиться удовлетворить растущие потребности населения в лучшей жизни. Это позволит обеспечить качественное улучшение экономики и разумный рост, а также внести больше стабильности и позитивной энергии в мир, находящийся в состоянии турбулентности и перемен.","В нынешней сложной международной обстановке слабого восстановления мировой экономики и обострения геополитических конфликтов Китай известен как вторая по величине экономика в мире. В то время как внешняя среда для развития Китая претерпела глубокие и сложные изменения и все более непредсказуемые факторы, экономическая база Китая стабильна, сильна, устойчива и высока в потенциале, и ее долгосрочные позитивные условия поддержки и фундаментальные тенденции не изменились, и преимущества социалистической системы sui generis Китая, его сверхбольшого рыночного преимущества, преимущества его полной промышленной системы и преимущества его обильных человеческих ресурсов продолжали преобладать. На основе среднего роста на 5,5 процента в первые четыре года «1450 года» ВВП Китая вырос на 5,2 процента в первые три квартала года, и ожидается, что его экономика достигнет примерно 1,4 триллиона юаней в 2025 году, демонстрируя сильную внутреннюю динамику и эффективную синергию макроэкономической политики. Китай будет продолжать фокусироваться на экономическом строительстве, чтобы способствовать высококачественному развитию, с инновациями в качестве основной цели удовлетворения растущих потребностей своего народа для лучшей жизни, чтобы способствовать эффективному качественному и количественному росту экономики и вводить больше уверенности и позитивной энергии в нестабильный мир."
坚持开放合作，与世界各国共享发展新机遇,"Придерживаться открытости и сотрудничества, делиться новыми возможностями развития со странами мира",Придерживаться открытого сотрудничества и делиться новыми возможностями развития со странами всего мира.,"Придерживаясь принципов открытости и сотрудничества, мы стремимся делиться новыми возможностями для развития со всеми странами мира.",Сохранение открытого сотрудничества и обмен новыми возможностями для развития со странами всего мира
“中国好，世界才更好。”习近平主席指出，中国追求的不是独善其身的现代化，愿同各国一道，实现和平发展、互利合作、共同繁荣的世界现代化，推动构建人类命运共同体。全会提出扩大高水平对外开放，维护多边贸易体制，拓展国际循环，以开放促改革促发展，与世界各国共享机遇、共同发展。随着中国在科技创新、绿色转型、数字经济等新兴领域不断取得进展，将为全球合作伙伴提供更广阔的市场、更丰富的产品和更先进的技术解决方案。与此同时，“制度型开放”成为此次全会的一大关键词，意味着中国将在规则、管理、标准等制度层面加快与国际高标准对接，这不仅将为外资企业营造更加稳定、透明、可预期的投资环境，也将为全球资本、技术、人才等在中国集聚发展提供更多制度保障。,"«Если Китаю хорошо, миру будет лучше». Председатель Си Цзиньпин отметил, что Китай стремится не к модернизации в одиночку, а готов вместе со всеми странами осуществить общую модернизацию, основанную на мирном развитии, взаимовыгодном сотрудничестве и совместном процветании во имя построения сообщества единой судьбы человечества. На Пленуме подчеркнута необходимость расширять открытость на высоком уровне, защищать многостороннюю торговую систему, углублять международное экономическое взаимодействие, использовать открытость для содействия реформам и развитию, делиться возможностями и совместно развиваться со странами мира. По мере прогресса Китая в новых областях, таких как научно-технические инновации, зеленая трансформация, цифровая экономика и другие, он предоставит глобальным партнерам более обширный рынок, большее разнообразие продуктов и более передовые технологические решения. Одновременно «институциональная открытость» стала ключевым словом Пленума. Это означает, что Китай будет ускорять совмещение правил, механизмов управления, стандартов и других институциональных аспектов с международными ориентирами высокого уровня. Это не только создаст более стабильную, прозрачную и предсказуемую среду для иностранных компаний, но и предоставит больше институциональных гарантий для привлечения глобального капитала, технологий, талантов и других важных ресурсов для их концентрации и развития в Китае.","«Если Китай будет хорошим, мир станет лучше». Председатель Си Цзиньпин отметил, что Китай не проводит модернизацию в изоляции. Он готов работать с другими странами для достижения мировой модернизации, мирного развития, взаимовыгодного сотрудничества и общего процветания, а также способствовать построению сообщества с общей судьбой для человечества. На пленарном заседании было предложено расширить открытость на высоком уровне для внешнего мира, защитить многостороннюю торговую систему, расширить международное обращение, способствовать реформам и развитию посредством открытости, а также делиться возможностями и общим развитием с другими странами мира. Поскольку Китай продолжает добиваться прогресса в новых областях, таких как технологические инновации, зеленая трансформация и цифровая экономика, он предоставит глобальным партнерам более широкий рынок, более богатую продукцию и более передовые технологические решения. В то же время «институциональная открытость» стала ключевым словом этого пленарного заседания, что означает, что Китай ускорит интеграцию с высокими международными стандартами на институциональном уровне, такими как правила, управление и стандарты. Это не только создаст более стабильную, прозрачную и предсказуемую инвестиционную среду для предприятий, финансируемых из-за рубежа, но также предоставит больше институциональных гарантий для концентрации и развития глобального капитала, технологий и талантов в Китае.","""Китай хорош, и благодаря этому мир становится лучше"", - подчеркнул председатель Си Цзиньпин. Китай стремится к модернизации, которая приносит пользу не только самому себе, но и всему миру, и готов сотрудничать со всеми странами для достижения мира, взаимовыгодного партнерства и совместного процветания, способствуя построению сообщества единой судьбы человечества. На съезде было предложено расширить высокоуровневую открытость, поддерживать многостороннюю торговую систему и развивать международную кооперацию, используя открытость для стимулирования реформ и развития, чтобы делиться возможностями и совместно расти со всеми странами мира. По мере того как Китай добивается прогресса в таких новых областях, как технологические инновации, ""зеленая"" трансформация и цифровая экономика, он будет предоставлять своим глобальным партнерам более широкие рынки, более разнообразные продукты и передовые технологические решения. В то же время, концепция ""открытости, основанной на правилах"" стала одним из ключевых слов текущего съезда, что означает, что Китай ускорит сближение своих систем регулирования, управления и стандартов с международными высокими стандартами. Это не только создаст более стабильную, прозрачную и предсказуемую инвестиционную среду для иностранных компаний, но и обеспечит больше институциональных гарантий для привлечения капитала, технологий и талантов со всего мира в Китай.","«Китай лучше, мир лучше. «Президент Си заявил, что Китай не стремится к модернизации и готов работать со всеми странами для достижения мирного развития, взаимовыгодного сотрудничества и модернизации общего и процветающего мира и содействия формированию сообщества человеческой судьбы. Пленарное заседание предложило расширить высокий уровень открытости многосторонней торговой системе и расширить международный цикл, с тем чтобы открыть двери для перемен в целях развития и для обмена возможностями и общего развития со всеми странами мира. По мере развития Китая в таких новых областях, как наука, технологии и инновации, зеленая трансформация и цифровая экономика, он будет предоставлять глобальным партнерам более широкие рынки, более богатые продукты и более передовые технологические решения. В то же время ключевым словом для этого пленарного заседания стало слово «системная открытость», означающее, что Китай ускорит свое сближение с высокими международными стандартами на уровне правил, управления, стандартов и т. д. Это не только создаст более стабильный, прозрачный и предсказуемый инвестиционный климат для иностранных предприятий, но и обеспечит более широкие институциональные гарантии для глобального объединения капитала, технологий, талантов и т. д. в Китае."
